occupation,soc_code,emp_2024,emp_2034,emp_change_num,emp_change_pct,median_wage_2024,education_required,annual_openings
"      Rail transportation workers, all other",53-4099,1.6,1.6,0.1,3.9,49330.0,High school diploma or equivalent,0.2
      Sailors and marine oilers,53-5011,32.1,32.8,0.7,2.3,49610.0,No formal educational credential,3.9
"        Captains, mates, and pilots of water vessels",53-5021,40.7,40.9,0.2,0.5,85540.0,Postsecondary nondegree award,4.3
        Motorboat operators,53-5022,2.7,2.8,0.0,1.4,51880.0,Postsecondary nondegree award,0.3
      Ship engineers,53-5031,8.8,9.0,0.1,1.6,101320.0,Postsecondary nondegree award,1.1
      Bridge and lock tenders,53-6011,2.9,2.8,-0.1,-3.3,58490.0,High school diploma or equivalent,0.3
      Parking attendants,53-6021,135.7,139.8,4.0,3.0,34600.0,No formal educational credential,18.5
        Automotive and watercraft service attendants,53-6031,100.0,99.0,-1.0,-1.0,34850.0,No formal educational credential,14.4
        Aircraft service attendants,53-6032,28.0,29.5,1.4,5.1,41540.0,High school diploma or equivalent,4.3
      Traffic technicians,53-6041,7.9,8.2,0.3,3.7,58480.0,High school diploma or equivalent,0.8
      Transportation inspectors,53-6051,25.7,26.1,0.4,1.7,85750.0,High school diploma or equivalent,2.5
      Passenger attendants,53-6061,25.6,26.8,1.2,4.7,37560.0,High school diploma or equivalent,4.1
"      Transportation workers, all other",53-6099,11.5,11.9,0.4,3.8,39630.0,High school diploma or equivalent,1.2
      Conveyor operators and tenders,53-7011,29.1,28.1,-1.0,-3.4,41230.0,No formal educational credential,2.6
      Crane and tower operators,53-7021,42.3,43.5,1.3,3.0,66370.0,High school diploma or equivalent,3.8
      Dredge operators,53-7031,1.1,1.2,0.0,1.2,48430.0,High school diploma or equivalent,0.1
      Hoist and winch operators,53-7041,2.7,2.7,0.0,-1.1,52310.0,No formal educational credential,0.3
      Industrial truck and tractor operators,53-7051,792.5,801.6,9.1,1.1,46390.0,No formal educational credential,76.4
        Cleaners of vehicles and equipment,53-7061,410.1,426.2,16.0,3.9,35270.0,No formal educational credential,56.2
"        Laborers and freight, stock, and material movers, hand",53-7062,2988.9,3033.1,44.3,1.5,38940.0,No formal educational credential,384.3
        Machine feeders and offbearers,53-7063,46.5,40.4,-6.0,-13.0,39700.0,No formal educational credential,4.7
"        Packers and packagers, hand",53-7064,591.8,559.7,-32.2,-5.4,35580.0,No formal educational credential,74.0
        Stockers and order fillers,53-7065,2764.8,2999.8,235.0,8.5,37090.0,No formal educational credential,472.3
        Gas compressor and gas pumping station operators,53-7071,5.4,5.3,-0.1,-1.3,71510.0,High school diploma or equivalent,0.6
"        Pump operators, except wellhead pumpers",53-7072,13.1,13.5,0.3,2.6,60020.0,High school diploma or equivalent,1.5
        Wellhead pumpers,53-7073,18.8,17.9,-0.9,-4.7,70010.0,High school diploma or equivalent,2.0
      Refuse and recyclable material collectors,53-7081,147.9,149.2,1.3,0.9,48350.0,No formal educational credential,16.9
"      Tank car, truck, and ship loaders",53-7121,12.0,12.5,0.5,4.3,58070.0,No formal educational credential,1.3
"      Material moving workers, all other",53-7199,27.7,28.9,1.2,4.3,41690.0,No formal educational credential,3.1
