automation_prob,soc_code,occupation_fo
0.61,51-3093,Food cooking machine operators and tenders
0.61,51-4122,"Welding, soldering, and brazing machine setters, operators, and tenders"
0.62,53-5022,Motorboat operators
0.62,47-2082,Tapers
0.62,47-2151,Pipelayers
0.63,19-2042,"Geoscientists, except hydrologists and geographers"
0.63,49-9012,"Control and valve installers and repairers, except mechanical door"
0.63,31-9799,"Healthcare support workers, all other"
0.63,35-1012,First-line supervisors of food preparation and serving workers
0.63,47-4011,Construction and building inspectors
0.64,51-9031,"Cutters and trimmers, hand"
0.64,49-9071,"Maintenance and repair workers, general"
0.64,23-1021,"Administrative law judges, adjudicators, and hearing officers"
0.64,43-5081,Stock clerks and order fillers
0.64,51-8012,Power distributors and dispatchers
0.64,47-2132,"Insulation workers, mechanical"
0.65,19-4061,Social science research assistants
0.65,51-4041,Machinists
0.65,15-1150,Computer support specialists
0.65,25-4021,Librarians
0.65,49-2097,Electronic home entertainment equipment installers and repairers
0.65,49-9021,"Heating, air conditioning, and refrigeration mechanics and installers"
0.65,53-7041,Hoist and winch operators
0.66,37-2021,Pest control workers
0.66,51-9198,Helpers–production workers
0.66,43-9111,Statistical assistants
0.66,37-2011,"Janitors and cleaners, except maids and housekeeping cleaners"
0.66,49-3051,Motorboat mechanics and service technicians
0.67,51-9196,"Paper goods machine setters, operators, and tenders"
0.67,51-4071,Foundry mold and coremakers
0.67,19-2021,Atmospheric and space scientists
0.67,53-3021,"Bus drivers, transit and intercity"
0.67,33-9092,"Lifeguards, ski patrol, and other recreational protective service workers"
0.67,49-9041,Industrial machinery mechanics
0.68,43-5052,Postal service mail carriers
0.68,47-5071,"Roustabouts, oil and gas"
0.68,47-2011,Boilermakers
0.68,17-3013,Mechanical drafters
0.68,29-2021,Dental hygienists
0.69,53-3033,Light truck or delivery services drivers
0.69,37-2012,Maids and housekeeping cleaners
0.69,51-9122,"Painters, transportation equipment"
0.7,43-4061,"Eligibility interviewers, government programs"
0.7,49-3093,Tire repairers and changers
0.7,51-3092,Food batchmakers
0.7,49-2091,Avionics technicians
0.71,49-3011,Aircraft mechanics and service technicians
0.71,53-2022,Airfield operations specialists
0.71,51-8093,"Petroleum pump system operators, refinery operators, and gaugers"
0.71,47-4799,"Construction and related workers, all other"
0.71,29-2081,"Opticians, dispensing"
0.71,51-6011,Laundry and dry-cleaning workers
